unknown,other,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0.0041138637,0.0040635616,0.020169858,0.007668632,0.04952333,0.12647621,0.0172223,0.046822455,0.0070603373,0.0049296995,0.031108517,0.020283492,0.02850944,0.021033635,0.014024509,0.1077802,0.005666028,0.014802546,0.0073782634,0.011661084,0.02643226,0.019392885,0.006279187,0.04683467,0.11000166,0.007041543,0.13538457,0.0046470086,0.015473662,0.02966114,0.011871781,0.036681615
