sequenceId,subsequenceId,itemPosition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
6,0,5,-0.96484375,-0.578125,-0.38476562,0.76953125,0.13574219,0.79296875,-1.0078125,0.6328125,1.9921875,-1.2890625,1.125,-1.4453125,0.25976562,0.73046875,-0.13574219,0.84375,-0.16699219,1.1953125,1.390625,-0.46875,1.2421875,-0.13085938,0.18652344,1.953125,1.09375,-1.1171875,0.7421875,0.52734375,0.34765625,0.86328125,-1.7109375,0.4375,-1.53125,-2.171875,0.46289062,-0.328125,-0.016113281,-0.65625,-0.24023438,0.52734375,-0.75,-1.3828125,0.73046875,-0.16699219,1.1328125,-0.55859375,-0.052734375,-0.60546875,0.034179688,-1.15625,1.8359375,0.73046875,-0.671875,0.59375,-0.4765625,1.8828125,-1.6640625,-0.35351562,1.09375,1.1015625,1.25,-0.15136719,0.38476562,-0.28320312,0.07128906,0.12011719,1.0390625,-0.41210938,-0.48242188,-1.796875,-1.5859375,-0.19824219,0.045654297,-0.8515625,0.20507812,-0.24121094,0.21289062,-0.92578125,-0.84765625,0.32226562,0.12207031,1.7578125,0.045898438,-1.4296875,0.20800781,-0.025756836,-1.078125,-0.6328125,0.546875,1.1484375,-0.42578125,0.5390625,0.67578125,0.1796875,-0.609375,-0.014953613,-0.005859375,-1.2890625,-1.3671875,1.6015625,-0.63671875,-0.40234375,0.16113281,-0.46679688,-1.421875,1.65625,-0.33007812,-1.546875,-0.3515625,-0.0625,0.103515625,0.71875,-1.515625,-2.03125,0.7109375,-0.05126953,-1.078125,1.046875,-0.16699219,-1.5234375,-0.9375,-0.040771484,-0.203125,0.890625,0.4921875,-1.28125,0.38476562,1.1484375,0.296875,1.9609375,-0.014831543,0.36914062,1.3828125,-0.10644531,0.73828125,-2.15625,0.62109375,-0.6875,-0.859375,0.49023438,2.15625,-0.59765625,0.66015625,0.41796875,-0.3125,-1.4609375,-2.515625,-0.69140625,-0.36523438,-0.17675781,0.8125,-0.40820312,-0.47070312,0.47460938,-1.171875,0.91796875,0.59375,-0.32226562,1.28125,-1.5859375,-1.9375,-1.296875,-0.49023438,-1.4375,-0.7265625,-1.1484375,-0.73828125,0.30664062,-1.8046875,-0.76953125,-0.31054688,1.296875,1.875,1.6875,0.31445312,0.953125,1.2734375,-1.5,0.91015625,1.859375,1.59375,1.2109375,-1.234375,-1.125,1.4609375,0.58984375,0.31835938,-0.078125,1.2421875,-1.1953125,0.890625,-0.47460938,0.46289062,2.0625,0.39648438,0.67578125,1.578125,-0.36523438,-0.06542969,0.20019531
6,0,6,0.068359375,-0.071777344,0.47265625,1.3515625,-1.03125,1.875,-1.296875,0.6796875,3.21875,-1.359375,-0.064453125,-1.0390625,-1.5859375,0.22558594,-0.62109375,0.19335938,-0.41992188,0.93359375,0.6171875,-0.81640625,2.015625,0.90625,0.578125,0.37304688,0.22753906,-0.4140625,-1.1875,-0.50390625,-1.1796875,1.1796875,-2.6875,0.095703125,-1.859375,-2.359375,0.08642578,-0.91015625,0.82421875,-0.24609375,0.640625,1.0234375,0.10839844,0.19238281,-0.09863281,-0.16601562,0.31054688,-0.25585938,-0.39453125,0.16015625,0.22949219,-1.5859375,0.25976562,0.94921875,-1.0234375,0.9375,0.6640625,1.59375,-0.43945312,-0.99609375,1.546875,-0.33984375,1.625,-0.5390625,1.578125,0.26757812,-0.72265625,0.21777344,-0.19628906,-0.76171875,-0.40429688,-0.92578125,-0.71484375,1.1875,-0.9609375,0.7265625,0.921875,-1.2578125,-0.048339844,0.51953125,-0.8828125,0.97265625,0.13378906,1.4453125,0.39257812,-0.65625,0.26367188,-0.15820312,-2.0,-0.796875,-0.33789062,0.88671875,1.03125,-0.6796875,-1.0,-0.05029297,1.015625,-0.13671875,-0.140625,-0.8125,0.3203125,1.0078125,0.30273438,-0.107421875,0.671875,-0.22167969,-0.30078125,0.81640625,0.1484375,-0.98046875,-0.38476562,2.53125,1.296875,1.4296875,-0.103027344,-2.1875,-0.1484375,0.89453125,-0.115234375,0.86328125,-0.19824219,-1.9453125,-1.0703125,1.21875,0.75,0.7734375,0.6484375,-0.5390625,0.62109375,0.234375,0.34765625,1.7734375,-1.265625,0.6171875,0.6796875,-0.34960938,-0.58984375,-0.50390625,0.71484375,0.21289062,-1.109375,-0.26171875,0.4765625,-0.14257812,0.67578125,0.98828125,-2.046875,-2.125,-1.4296875,0.27734375,-1.1328125,0.063964844,0.010986328,0.19726562,-0.76171875,-0.58203125,-1.5390625,-1.2421875,-0.0115356445,1.53125,0.7734375,-1.0078125,-1.2265625,-0.16796875,0.28320312,-1.953125,-0.6171875,1.453125,0.7421875,-1.0,-1.3515625,-1.2109375,0.6875,0.69921875,0.5078125,0.66796875,1.5703125,1.0703125,-0.029785156,-1.265625,-0.83984375,1.03125,2.640625,1.1171875,-1.5625,-1.265625,-0.11767578,0.41992188,-0.03564453,-0.890625,1.140625,-0.1328125,-0.12792969,0.22167969,0.011474609,1.375,0.62109375,0.27148438,-1.3046875,0.74609375,-1.34375,1.015625
6,0,7,0.77734375,-1.109375,1.9140625,-0.072265625,-1.40625,0.78515625,-0.33007812,-0.14257812,2.15625,-1.5859375,-1.4921875,-1.1484375,-2.234375,-0.9609375,-1.515625,-0.9140625,-0.9375,-0.59765625,0.98828125,-0.76953125,1.125,0.33789062,0.859375,-0.8125,-1.640625,1.3046875,0.26757812,-0.8125,-1.28125,1.1484375,-1.1015625,0.71875,-1.0703125,-2.234375,0.22460938,-0.27148438,-1.7578125,1.6796875,-0.20605469,1.0625,0.69921875,-0.10058594,-0.80859375,0.58203125,0.5625,0.3984375,-1.390625,0.63671875,-0.62109375,-2.328125,-1.4375,1.4609375,-2.15625,1.28125,1.1015625,1.2421875,-1.4375,0.41601562,0.24609375,-0.3984375,-0.26171875,-0.5546875,1.4765625,-0.7109375,-0.8203125,1.7421875,0.7890625,-0.26953125,0.515625,1.03125,-0.05053711,-0.6640625,0.28515625,0.29296875,0.28320312,1.8203125,0.70703125,0.31054688,-0.9296875,0.41210938,0.92578125,1.5546875,-0.37109375,-0.76171875,1.46875,-1.125,0.41992188,-1.40625,-0.49414062,-0.921875,-1.09375,-0.7578125,-0.75,-1.15625,-0.068359375,-0.24804688,1.2265625,-0.5390625,1.046875,-0.85546875,-2.875,1.03125,1.2734375,1.6328125,1.28125,0.16699219,0.76171875,0.25585938,-0.30078125,0.06347656,1.25,0.23828125,1.34375,-0.70703125,0.90234375,0.73828125,0.8984375,-0.23046875,-0.69921875,-1.828125,-0.47265625,0.765625,0.6640625,0.22753906,-0.11425781,0.953125,0.9296875,0.8125,2.171875,-0.34375,-0.9609375,-1.15625,0.30859375,0.65625,-0.072753906,0.016967773,1.015625,-0.6875,-1.640625,0.15234375,1.390625,0.08251953,0.05029297,1.7890625,-0.54296875,-1.3203125,0.78125,-0.171875,-2.546875,-0.10107422,-0.045898438,0.110839844,-0.703125,1.4921875,-0.94921875,-1.765625,-0.5078125,0.91015625,0.7421875,0.18945312,0.40039062,-0.421875,-0.024780273,-0.57421875,0.34375,0.34765625,0.953125,0.44335938,-1.671875,0.69921875,0.921875,1.40625,0.17773438,0.5546875,-0.12158203,-0.5703125,0.16601562,0.50390625,-0.11328125,0.546875,0.052246094,1.5859375,-0.43359375,-1.1171875,0.37304688,0.390625,0.515625,-0.58984375,-1.0390625,-0.20117188,0.26367188,1.3515625,0.110839844,-0.640625,0.5703125,0.42773438,-0.08251953,0.47265625,-0.828125,-1.0625
7,0,5,2.265625,-0.36523438,0.47460938,0.1015625,1.34375,-0.029785156,-1.03125,-0.23535156,2.34375,-0.2265625,0.3984375,-0.56640625,-2.265625,-0.8984375,0.84765625,0.14941406,-0.026611328,0.14648438,0.8359375,-0.5625,1.984375,-0.6328125,1.53125,1.84375,-0.265625,0.27734375,-1.09375,-0.87109375,0.012084961,1.3984375,-1.25,0.19335938,0.4765625,0.10595703,-0.36132812,-0.17578125,0.043945312,0.921875,-0.58984375,-0.2734375,0.12060547,-0.38085938,-0.14941406,0.53515625,1.3046875,-0.9921875,0.7734375,-0.47851562,-1.0078125,-1.015625,1.453125,0.6640625,-1.0546875,-1.390625,-0.69140625,0.0042419434,-1.4453125,-0.12402344,-0.47460938,0.5625,-0.30273438,-0.97265625,0.640625,-1.7109375,0.94140625,0.83203125,0.21386719,-0.06933594,-0.022949219,-1.7265625,1.078125,0.62890625,-0.76953125,-0.46679688,-0.921875,-0.6640625,-1.421875,-1.1953125,-0.40429688,1.9609375,0.84375,1.390625,0.06591797,-0.59375,-0.18652344,-1.2265625,-0.6484375,-0.4375,0.7265625,1.203125,-1.4375,-0.21484375,0.115234375,-0.31835938,-0.96484375,-0.34765625,0.96875,-2.296875,-0.14941406,0.013793945,-0.73046875,0.029418945,0.08154297,0.35351562,-1.40625,2.8125,0.0005569458,-0.48828125,0.47070312,-0.09765625,0.71875,1.046875,-0.5625,-1.7265625,0.07763672,0.078125,-0.9296875,0.38085938,0.08496094,-0.21484375,-0.82421875,0.16503906,1.359375,0.3671875,0.20410156,-0.0016555786,-0.6796875,0.095703125,-0.13476562,1.46875,0.2890625,-0.96484375,0.39453125,-0.14746094,-1.1015625,-1.2890625,1.09375,-0.54296875,0.041992188,0.98046875,2.15625,0.34960938,1.6875,1.3203125,-2.21875,-0.039794922,-2.53125,0.26367188,1.1953125,1.5625,1.203125,0.31054688,-0.63671875,0.6796875,-1.515625,-1.7578125,-0.34570312,1.140625,0.41015625,0.041748047,-2.734375,-0.0052490234,-0.25585938,-1.421875,-1.2265625,0.59765625,-0.671875,0.0048217773,-1.0078125,-0.3359375,1.171875,1.1328125,0.76171875,1.0546875,-0.5859375,-1.5234375,-0.73828125,0.08105469,0.8515625,1.984375,1.6953125,0.96875,-1.546875,-1.578125,1.5625,0.34765625,-0.14941406,-0.80859375,0.2265625,0.51953125,1.578125,-1.046875,0.328125,0.8671875,0.5390625,-0.18652344,1.625,-0.28515625,0.59765625,-0.828125
7,0,6,0.44921875,-0.46875,-0.07373047,0.58984375,0.37109375,-0.03955078,-1.59375,1.0078125,1.3984375,0.47851562,0.4765625,-0.76953125,-1.1640625,-1.2890625,0.75390625,-0.515625,0.37890625,0.28710938,1.6015625,-0.18066406,0.6015625,0.10888672,0.7890625,2.015625,1.34375,0.057861328,-0.9140625,-0.203125,1.09375,1.7578125,-1.25,-1.8359375,1.3828125,-0.91796875,-0.30273438,-0.61328125,-0.36914062,1.375,-1.1796875,1.4921875,-0.49609375,-0.828125,0.05444336,1.71875,0.7109375,-0.25195312,1.125,-0.010070801,-0.5234375,0.26953125,1.0234375,0.28710938,-0.57421875,-0.21484375,-0.083496094,0.95703125,-1.265625,-0.49023438,-0.22851562,0.17675781,-0.53125,0.40039062,-0.01940918,-0.59375,1.015625,-0.765625,0.37890625,-0.54296875,-0.12011719,-1.34375,0.71875,-0.5390625,-0.39648438,-0.57421875,0.32226562,-0.8359375,-0.67578125,-0.21191406,-2.109375,1.390625,0.056152344,1.09375,0.83984375,-1.296875,-0.91796875,0.052490234,-1.625,-0.72265625,0.6328125,0.42773438,0.15820312,1.40625,1.09375,-1.09375,-1.0,-0.97265625,0.24511719,-2.921875,-0.5625,2.109375,0.61328125,-0.31835938,0.234375,1.40625,-0.20898438,2.390625,-0.49804688,-0.29296875,-0.39648438,0.42773438,0.16894531,0.296875,-0.107421875,-1.3828125,0.18066406,0.7109375,-0.88671875,-0.5625,0.43945312,0.6640625,-0.36523438,0.5234375,-0.19824219,-0.50390625,-1.234375,-0.34179688,-0.4609375,-0.060302734,-1.0,1.1640625,0.50390625,-1.1796875,-0.90234375,-1.0625,0.18457031,-1.0703125,1.6171875,-2.03125,-1.0859375,1.140625,1.3828125,-0.31835938,1.5234375,1.09375,-1.4765625,-0.453125,-2.140625,-0.41015625,0.3359375,0.90234375,-0.57421875,-1.0859375,-0.3203125,0.9140625,-1.28125,-1.5625,-0.2578125,-0.08984375,0.48828125,0.98046875,-1.9921875,0.008544922,-0.46289062,-0.43164062,-2.03125,1.7890625,-0.96484375,0.38085938,0.44335938,0.82421875,1.0859375,2.75,1.40625,1.1484375,-0.4609375,-0.6640625,-0.32226562,0.66015625,-0.61328125,1.25,2.640625,1.03125,-0.71484375,-1.84375,-0.421875,0.515625,-0.17578125,-1.5234375,1.3359375,-0.67578125,1.5234375,0.734375,0.47851562,1.1796875,-1.3046875,0.016113281,1.1015625,-0.6953125,0.09765625,-0.8203125
7,0,7,0.3671875,0.05810547,0.4375,0.87890625,0.19335938,1.1171875,0.33789062,-0.5,0.70703125,-2.6875,-0.092285156,-1.96875,-1.359375,0.671875,-0.68359375,0.20800781,1.5,0.23828125,2.8125,-0.8359375,1.4453125,-0.984375,-0.5546875,0.9765625,1.0390625,0.038330078,0.029174805,0.05444336,-1.7578125,0.8671875,-1.140625,1.0625,-0.9375,-1.3671875,0.31054688,-0.13769531,0.15820312,0.107910156,0.22460938,-0.19140625,0.90234375,0.90234375,0.3671875,0.53515625,0.33984375,0.24414062,-0.92578125,0.79296875,-0.14257812,-1.9375,0.6796875,0.43554688,-0.11279297,0.6796875,0.46875,1.46875,-2.734375,0.0045166016,-0.09277344,0.7109375,-0.18359375,-0.041992188,1.3828125,-0.19238281,-0.040039062,0.703125,2.125,0.2265625,-0.48046875,-0.578125,-0.59375,-0.8828125,0.44140625,0.6796875,-0.37695312,1.125,1.046875,-0.28710938,-1.3359375,0.7109375,0.35546875,0.78125,-0.34765625,-1.484375,-0.8515625,-0.48046875,-1.53125,-0.41796875,0.7265625,-0.47265625,-0.3671875,-1.171875,1.7890625,0.25390625,-0.5078125,0.734375,1.03125,-0.609375,-1.734375,-0.9453125,-0.11035156,-0.32617188,1.703125,0.16699219,0.16210938,0.96875,-0.5234375,-0.84375,-0.48828125,-0.72265625,0.8828125,-0.16503906,-0.57421875,-0.09423828,0.9921875,0.017333984,-0.27734375,0.33007812,0.12597656,-0.81640625,0.0010757446,-0.003967285,0.96484375,1.1640625,1.7109375,-0.3671875,1.1640625,1.0625,0.26171875,-0.48242188,-0.07421875,-0.11328125,-0.7265625,-0.69921875,-0.37304688,-2.03125,-0.38671875,-1.1015625,-1.0859375,0.5703125,2.5,-1.5546875,1.5390625,-1.234375,-0.828125,-1.9375,-0.75,-1.4453125,-0.953125,-0.1015625,0.91796875,-1.1640625,-0.9375,0.36914062,-0.74609375,-1.1015625,-1.1171875,0.62890625,2.0,-0.59375,-0.08544922,-0.0061035156,0.034179688,-1.0703125,-0.09814453,-0.92578125,0.2578125,-1.671875,-0.92578125,0.40429688,0.6484375,1.6640625,0.27734375,1.484375,-0.30859375,2.03125,1.125,-1.8671875,1.046875,0.7890625,1.6484375,2.390625,-2.546875,-0.86328125,-0.026489258,0.36914062,-0.484375,-1.5390625,0.91015625,-1.1015625,0.96484375,-1.21875,1.1640625,0.890625,0.76171875,-0.7109375,0.91015625,0.6640625,0.16015625,-0.0546875
