sequenceId,subsequenceId,itemPosition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
3,0,5,-0.82421875,-1.1640625,0.022583008,-0.21875,-0.42578125,0.0625,0.828125,0.9140625,0.49414062,-0.9140625,-1.75,-1.53125,-1.703125,-0.53515625,-0.82421875,-0.37890625,0.23535156,0.6171875,2.046875,0.10888672,0.5,0.40625,0.609375,0.703125,-0.08642578,1.59375,-0.99609375,1.1953125,0.58984375,1.015625,-1.625,-0.265625,-0.65234375,-0.90625,0.8984375,-0.12988281,0.26367188,-1.0703125,-0.29492188,0.59375,0.41992188,0.859375,-0.36132812,1.546875,0.10498047,-0.703125,-1.0859375,0.51171875,0.016113281,-1.65625,0.047607422,0.73046875,-1.8125,0.87109375,-0.1484375,1.0703125,-1.3984375,0.5390625,-0.0024719238,-0.23046875,-1.4140625,-0.86328125,1.8671875,1.4296875,-0.54296875,1.1640625,1.3046875,0.52734375,-0.640625,-0.62890625,-0.4140625,-1.5078125,-0.25976562,1.3359375,-1.6015625,0.83203125,0.953125,1.0,-1.53125,-1.2578125,-0.28125,1.7890625,-0.98828125,-0.5703125,1.609375,-0.54296875,-0.9140625,-1.09375,0.97265625,0.57421875,-0.296875,-0.58203125,1.171875,-0.76953125,0.60546875,-0.12597656,1.0390625,-1.2109375,-0.84765625,0.17675781,-1.125,0.044677734,0.125,0.953125,-0.20605469,1.75,-1.1171875,-0.36523438,-2.125,0.083984375,2.203125,0.31054688,1.484375,-1.1171875,0.87109375,0.1875,-0.12988281,-0.041503906,-0.28125,0.421875,1.4609375,0.19628906,0.83203125,0.609375,1.1796875,1.0546875,0.55078125,0.09375,1.4609375,0.5859375,-0.79296875,-0.91796875,-0.05517578,-0.29101562,-0.22949219,-0.82421875,1.0078125,-1.171875,-1.4453125,0.16796875,-0.23925781,0.119628906,0.24511719,-1.046875,-1.8828125,-2.046875,0.2578125,0.87109375,-2.046875,-0.58203125,0.140625,-0.6796875,0.984375,0.203125,-1.359375,-1.0234375,0.23730469,1.0234375,-0.5,-0.40820312,-0.16308594,-0.16210938,-1.4921875,-1.0859375,1.8046875,0.46679688,-0.14550781,-0.22460938,-1.140625,2.625,0.07373047,0.99609375,1.5390625,0.44335938,0.81640625,0.39257812,0.52734375,-1.1796875,-0.38085938,2.75,1.9453125,2.140625,-1.8828125,-1.515625,-0.43164062,-1.203125,0.02368164,-1.671875,0.5546875,-0.39453125,0.17480469,-1.15625,0.79296875,0.8984375,0.096191406,0.37304688,0.65234375,-0.46484375,0.35351562,0.36914062
3,0,6,1.703125,0.16699219,0.30078125,-0.118652344,1.3125,-0.9765625,-0.78125,-0.921875,1.4609375,-0.640625,-0.15429688,-0.47851562,-1.46875,-1.6875,1.21875,0.80078125,-0.38085938,0.7421875,0.63671875,-0.93359375,1.6171875,-0.5078125,0.671875,1.1953125,0.265625,-0.69921875,-1.9453125,0.107421875,0.54296875,0.39648438,-1.46875,0.6484375,0.23046875,0.69140625,-0.62109375,-0.3671875,0.8828125,-0.3671875,-0.5703125,-1.4296875,-0.8203125,-0.17480469,0.36523438,-1.25,1.3671875,-1.234375,0.79296875,0.16699219,-0.70703125,-1.171875,1.703125,1.4765625,-0.80078125,-0.20019531,-0.36523438,-0.81640625,-0.1171875,1.3671875,-0.20800781,-0.87890625,-0.35546875,-0.55859375,0.3125,-1.5703125,-0.0037078857,0.96484375,-0.20703125,0.24511719,-0.62109375,-1.4609375,0.78515625,0.33789062,-1.484375,-0.111328125,-1.421875,-1.6328125,0.04248047,-1.9921875,-0.006286621,1.359375,2.078125,1.0625,0.34570312,-0.94921875,0.20507812,-0.49804688,-0.140625,-0.22070312,0.26757812,1.0859375,-1.5,0.5859375,0.62890625,0.52734375,-1.7734375,-1.0703125,0.63671875,-1.4375,-0.18847656,-0.42578125,0.45507812,1.1953125,-0.26171875,0.26757812,-1.2109375,2.171875,0.62109375,0.12451172,0.765625,-0.74609375,0.7421875,0.6328125,-1.0078125,-0.80078125,0.38476562,-0.0012283325,-0.76171875,0.2734375,1.1953125,0.21777344,-0.59765625,1.109375,1.6328125,0.84375,0.8125,-0.34179688,-0.80078125,-1.0625,0.52734375,1.625,0.0048828125,-0.49414062,-0.18945312,0.40234375,-1.0234375,-0.625,0.7109375,-0.34179688,0.18554688,-0.21289062,0.4296875,0.52734375,2.265625,0.87109375,-1.71875,0.19433594,-2.234375,0.96875,0.99609375,1.078125,0.107421875,-0.48632812,0.8984375,1.0703125,-0.58203125,-2.578125,-1.40625,1.1640625,0.3671875,1.0703125,-0.625,-0.32226562,0.80859375,-1.265625,0.8359375,0.17578125,-1.1171875,0.53125,0.42382812,0.21777344,1.203125,0.7109375,0.49609375,0.703125,-2.046875,-1.5546875,-1.171875,1.3671875,1.53125,1.5234375,0.3359375,-0.36523438,-1.65625,-1.890625,2.0625,-0.040283203,0.15429688,-0.18945312,-0.296875,0.43359375,0.24316406,-2.328125,1.65625,1.90625,-0.8203125,-0.8515625,0.9921875,-0.26171875,0.6640625,-1.0234375
3,0,7,0.76171875,0.052978516,-0.62890625,0.7578125,0.7421875,0.50390625,-0.1953125,0.71484375,0.453125,-2.296875,-0.016479492,-1.1171875,-0.53125,0.8515625,0.9921875,-0.5703125,1.03125,-0.22753906,2.0625,-0.65625,1.375,-0.31054688,-0.096191406,1.7578125,2.859375,0.21484375,-0.57421875,1.5859375,1.046875,2.328125,-1.1015625,1.4921875,0.0016098022,-0.73046875,0.41796875,0.87109375,-0.5703125,-0.0076904297,-0.6328125,1.0,-0.89453125,0.057861328,-0.12792969,0.31835938,1.9453125,-0.61328125,0.26367188,0.17285156,-1.046875,-0.98046875,-0.68359375,-0.009094238,-0.12207031,0.5234375,0.06933594,0.10644531,-2.40625,0.55859375,-0.17089844,1.5,-0.69921875,0.73046875,1.21875,-0.41015625,0.05444336,0.37890625,1.6328125,-0.8359375,-0.9140625,-0.33398438,-0.15332031,-1.0390625,0.09326172,0.05444336,-0.54296875,-0.56640625,2.078125,-1.921875,-1.9453125,1.8828125,0.8515625,-0.09765625,-0.58984375,-0.94140625,0.43945312,0.055908203,-0.21484375,-0.26367188,0.76953125,0.015625,-0.20996094,0.453125,0.9921875,-0.9453125,-1.6171875,-0.84765625,1.671875,-1.0,-0.89453125,-0.47070312,-1.3828125,-0.16992188,-1.1640625,-0.81640625,-0.94140625,1.71875,-0.2734375,0.671875,-0.26171875,-0.41210938,0.14941406,-0.41601562,-1.3046875,0.83203125,1.6015625,-1.1796875,-0.53515625,0.70703125,0.63671875,-0.06640625,-0.546875,0.2890625,0.55859375,-0.084472656,0.70703125,0.21582031,0.48828125,0.34570312,0.6953125,0.92578125,0.640625,-0.26757812,0.765625,1.453125,-0.68359375,-1.890625,0.18066406,-1.1796875,-0.93359375,0.5390625,2.53125,-0.921875,1.3359375,0.6640625,-0.41796875,-0.87890625,-0.88671875,-1.7421875,-1.46875,0.10498047,0.91796875,-1.703125,1.0546875,0.9765625,-0.78515625,-0.79296875,-1.1875,-0.06982422,0.29492188,-0.8203125,-0.92578125,-0.30664062,-0.75390625,-0.515625,1.1328125,-0.5,-1.7109375,0.96875,-0.71875,0.4765625,-0.1640625,2.421875,0.23925781,0.40039062,-1.5625,0.16308594,0.8046875,0.36132812,1.125,0.57421875,-0.7109375,1.4453125,-1.2109375,-2.734375,1.734375,-0.056152344,-1.609375,-1.59375,-0.23144531,-0.24707031,0.78515625,-1.140625,0.87890625,-0.20117188,0.53515625,-1.015625,1.03125,-0.40234375,-0.4453125,-0.22558594
4,0,5,0.10888672,-0.032958984,0.34179688,0.6484375,-0.70703125,-0.09472656,-0.9609375,-0.79296875,1.7578125,-1.328125,0.39257812,-0.65625,-0.55859375,0.40820312,-0.51171875,0.6796875,-0.125,0.25390625,1.328125,0.171875,1.3203125,-0.53515625,0.118652344,0.35742188,-0.34375,-0.6953125,-1.375,-0.43164062,0.020019531,0.1796875,-0.515625,0.35351562,-0.62109375,-0.24707031,-0.83203125,-0.74609375,-0.33203125,-0.87109375,-0.88671875,-1.1875,-1.03125,0.24707031,0.13867188,-0.037109375,0.49414062,-0.75390625,0.40039062,-1.296875,0.44335938,-2.015625,2.875,1.5859375,-1.453125,0.87109375,-1.0859375,1.453125,-0.32226562,0.43359375,0.21191406,0.100097656,1.1796875,0.11328125,0.546875,-0.2421875,-0.15722656,-0.029052734,0.39648438,0.43359375,0.62109375,-1.4921875,-0.096191406,-0.57421875,-0.39453125,0.73046875,-2.6875,0.16503906,0.012023926,-0.25976562,-0.52734375,0.40039062,2.015625,0.18847656,-0.82421875,-1.6171875,1.1484375,0.24023438,-0.95703125,-0.55859375,-0.3828125,0.60546875,-1.5,0.41015625,-1.3828125,0.5078125,-0.875,-0.123535156,0.796875,-0.50390625,-1.1796875,0.20800781,-1.0546875,1.53125,0.515625,0.69921875,-1.0859375,2.734375,-0.011413574,-1.4609375,0.06982422,0.61328125,1.9609375,0.703125,-1.1015625,-1.5546875,0.6171875,0.43945312,-1.6484375,0.9453125,-0.27929688,-1.5703125,-1.3671875,1.7578125,-0.7421875,0.82421875,1.1015625,0.29296875,1.203125,0.796875,-0.25390625,2.0625,-1.25,0.6875,-0.24609375,-0.29101562,-0.18164062,-0.515625,2.75,-0.39648438,0.34375,-0.033447266,-0.33203125,-1.0546875,0.578125,-0.4609375,-0.140625,-1.859375,-1.2578125,-0.41796875,-0.091796875,-0.80078125,0.453125,-0.18652344,-0.41992188,1.953125,-2.125,-1.3359375,-0.7421875,1.625,0.72265625,-0.25390625,-1.796875,0.29296875,-0.13476562,-1.796875,0.8359375,-0.034179688,-0.41992188,-1.390625,-0.85546875,-0.75390625,0.44335938,0.890625,0.98046875,0.5546875,0.86328125,-1.046875,1.0546875,-0.38476562,1.6953125,2.828125,2.390625,0.24511719,-0.40039062,-0.35742188,0.7421875,0.34960938,0.119140625,-1.4921875,-0.44921875,-0.022949219,2.171875,0.765625,0.93359375,1.3359375,-0.16503906,-0.16601562,0.16503906,0.93359375,0.54296875,0.375
4,0,6,-0.14453125,0.66796875,-0.8984375,-0.071777344,1.4296875,0.54296875,-0.6171875,-0.07373047,0.16308594,-1.046875,1.765625,-2.53125,-2.0625,0.16015625,0.7890625,0.034423828,0.85546875,0.023803711,-0.22753906,-0.27148438,0.921875,1.0625,1.7109375,0.98828125,-0.31835938,-1.65625,-1.375,-0.23046875,-0.84765625,0.94140625,0.47265625,0.51953125,-0.58984375,-1.15625,0.17480469,1.5234375,1.8203125,-0.23339844,-0.9375,-0.52734375,-0.31054688,0.47460938,-0.13085938,0.068359375,0.030029297,0.390625,0.08251953,-1.1875,1.0234375,-1.421875,1.2109375,-0.19921875,-1.2265625,0.27539062,1.203125,0.8125,-0.33984375,-0.0032043457,0.98046875,0.095703125,-1.203125,-1.125,1.5546875,-0.70703125,0.9921875,0.43359375,2.03125,-0.421875,-0.17675781,-1.484375,0.32617188,1.546875,0.82421875,-0.08935547,1.1796875,-1.28125,-0.4296875,-0.17675781,-0.040039062,1.0234375,0.20996094,-0.875,0.18554688,-0.84375,0.71875,-0.71484375,0.49609375,-1.4296875,-1.0390625,0.921875,-0.765625,-0.080078125,-0.04272461,0.77734375,0.375,0.234375,0.29101562,-2.234375,-0.38476562,0.37695312,-0.1796875,-0.7265625,1.4140625,-1.375,1.6328125,0.31640625,0.20019531,-0.3515625,-0.95703125,0.78515625,0.96484375,1.375,1.109375,1.1171875,0.19726562,2.140625,-1.0859375,1.515625,-0.796875,0.39648438,-1.2890625,-1.34375,0.83203125,0.703125,0.11279297,0.47265625,0.41796875,0.29101562,-0.07861328,-0.25585938,-0.8984375,-0.20214844,-0.115234375,1.390625,-0.890625,-0.40820312,0.47460938,-1.2890625,0.453125,-0.92578125,0.46484375,-0.5234375,1.28125,0.98828125,-1.3828125,0.24707031,-2.015625,0.71875,0.87890625,0.91796875,1.015625,-0.55859375,0.17089844,0.06933594,-0.87109375,-2.1875,-0.7265625,0.7734375,0.6328125,-0.14550781,-0.60546875,-1.9296875,-0.8046875,-1.4765625,-1.640625,0.6328125,-0.640625,-2.171875,-1.6953125,-0.72265625,0.61328125,-0.47070312,-0.43359375,0.50390625,0.89453125,-0.3828125,-0.23632812,-0.171875,-0.095703125,1.59375,1.03125,0.859375,-3.046875,-1.5625,1.2734375,2.234375,-0.08300781,-0.28320312,0.59375,-1.34375,-0.2578125,-0.27929688,1.828125,2.1875,-0.16308594,0.107910156,1.4140625,-0.51953125,-1.3671875,0.13671875
4,0,7,1.09375,-0.19726562,0.81640625,0.60546875,-0.25195312,1.1328125,-1.734375,0.64453125,2.09375,-0.9296875,0.13769531,-0.33398438,-1.25,-0.80859375,-0.6484375,-0.08105469,-0.421875,0.22167969,1.9609375,-0.37109375,0.71484375,-0.546875,1.234375,1.0625,1.46875,-0.9921875,-0.734375,-0.22167969,0.890625,2.078125,-0.94921875,-0.12890625,1.0078125,-1.28125,0.010864258,0.25195312,-0.87890625,0.63671875,0.123535156,0.80078125,-0.63671875,-0.58984375,0.609375,0.73828125,0.60546875,-0.4140625,0.54296875,1.8203125,-0.3828125,-0.609375,0.86328125,-0.23925781,-1.1171875,-1.3125,-0.32617188,1.1015625,-1.765625,-0.07373047,0.0072021484,-0.40039062,-0.068359375,1.3984375,0.12011719,-0.71484375,0.65625,-0.008056641,1.1796875,-0.875,-0.16308594,-1.3671875,0.0060424805,0.52734375,0.25195312,-0.06591797,0.08154297,-1.1796875,0.67578125,-0.87890625,-1.171875,2.375,0.58984375,0.88671875,0.72265625,-0.96484375,-0.94140625,0.16210938,-0.43164062,-1.2578125,0.122558594,-0.18554688,-0.06225586,0.734375,1.296875,-0.546875,0.39257812,-0.421875,1.015625,-2.15625,-0.6640625,0.64453125,-0.8671875,0.2578125,0.29492188,0.48242188,-1.1015625,1.8359375,-0.29296875,-1.328125,0.296875,0.11816406,-0.6484375,1.390625,0.46484375,-2.0,0.40625,0.34960938,-0.265625,-0.23144531,-0.49414062,-0.9453125,-0.11816406,-0.5390625,-0.84765625,-0.45507812,-0.66015625,-1.0625,0.55859375,0.65625,-0.9296875,0.23144531,1.4765625,-1.1171875,-0.27929688,0.46289062,1.0859375,-1.265625,1.15625,-3.359375,-0.67578125,0.5625,2.59375,-0.40039062,0.90625,1.9765625,-0.53125,0.36914062,-2.515625,-2.234375,0.2109375,0.10595703,-0.859375,-0.23535156,-1.171875,1.1953125,-1.5625,-0.8125,-0.328125,0.34765625,2.046875,-0.5234375,-1.8203125,-0.67578125,0.092285156,-1.4375,-2.671875,0.02709961,-0.36914062,-0.1875,-0.65234375,0.6796875,1.1953125,1.140625,0.20605469,1.390625,-0.921875,-0.008117676,0.023925781,0.10498047,-1.2109375,0.765625,1.2890625,1.34375,0.013427734,-0.62890625,1.0546875,0.55859375,-0.27734375,-1.2734375,1.328125,-0.24414062,2.078125,1.5390625,0.79296875,1.078125,-0.17578125,-0.4140625,0.8515625,0.56640625,-1.1328125,0.375
