sequenceId,subsequenceId,itemPosition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0,5,0.76171875,0.4140625,-0.66015625,0.5234375,-0.32421875,0.47070312,-1.3671875,0.20117188,1.3671875,-1.59375,-0.6328125,-1.546875,-1.8671875,0.77734375,-0.24023438,1.1953125,-0.1328125,0.26953125,0.63671875,-0.16210938,1.234375,0.34765625,1.3828125,0.72265625,-0.5390625,0.15820312,-1.078125,-1.140625,-0.77734375,0.53125,-0.98046875,0.5390625,-2.125,-0.32421875,0.39648438,0.0066223145,0.98828125,-0.88671875,-1.125,1.328125,0.100097656,0.86328125,0.4296875,0.11767578,0.26367188,0.092285156,-0.6640625,-1.25,1.6875,-1.0390625,1.6875,1.2265625,-1.109375,-0.072265625,1.140625,1.5078125,-0.8671875,-0.06298828,-0.25976562,-0.89453125,0.5,-0.921875,-0.22558594,0.2734375,-1.484375,0.31445312,-0.22070312,-0.43945312,-1.7265625,-0.38476562,0.9453125,-0.359375,0.15625,0.38476562,-0.13085938,-1.2578125,-0.06347656,0.091796875,0.41015625,0.060302734,-0.19140625,0.71484375,-0.68359375,0.024047852,0.4921875,-0.115234375,-0.74609375,-0.625,-1.7890625,0.84375,-1.1953125,-1.3046875,-1.546875,1.640625,1.296875,-0.11425781,0.053955078,0.008178711,-1.3984375,0.37109375,-1.65625,1.140625,1.5078125,-1.5078125,-0.025146484,0.44335938,-0.96484375,-0.91796875,0.83203125,2.453125,1.078125,-0.043701172,0.040527344,-0.70703125,0.44335938,1.1875,-1.2890625,0.73828125,-1.140625,-1.3203125,-1.6015625,1.140625,1.390625,1.1015625,1.4140625,-0.014526367,1.1953125,1.2265625,0.37695312,0.8046875,-0.5859375,-0.059570312,0.052978516,-0.49609375,-0.0625,-0.8828125,1.75,-1.1171875,0.734375,-0.44726562,0.04638672,-1.5234375,1.4140625,-0.044921875,-1.59375,-2.0625,-1.6953125,-0.76953125,0.0050354004,-0.58984375,0.51171875,-0.13769531,-0.25585938,-0.44726562,-1.15625,-2.015625,-0.47070312,1.3828125,0.30078125,-0.83984375,-1.1328125,-0.64453125,-0.6953125,-1.296875,1.0,-0.13183594,-0.61328125,-1.0625,0.27539062,-1.3046875,0.69140625,0.018554688,0.74609375,0.875,1.59375,1.40625,1.1953125,-0.82421875,-0.2734375,2.625,1.96875,0.6171875,-1.5390625,-1.125,0.33984375,1.3046875,0.13085938,-1.4765625,1.3671875,0.0079956055,0.609375,0.65625,1.46875,1.0390625,0.26171875,1.2109375,2.0625,-0.06347656,-0.38671875,1.5703125
0,0,6,0.11669922,0.62109375,1.0,1.2265625,0.7734375,0.8125,-0.36523438,-0.71484375,2.453125,-1.8125,0.83984375,-1.171875,-1.2734375,-0.07519531,-1.1953125,0.059326172,1.515625,-0.9296875,-0.07519531,0.13867188,1.1875,-0.06738281,0.30078125,0.51953125,-0.8515625,-0.060546875,-1.5859375,0.41601562,-0.20507812,1.8125,0.006378174,0.52734375,0.35546875,-2.375,-0.796875,1.7265625,-0.7734375,1.65625,-0.17089844,0.4609375,0.1015625,0.2578125,0.41796875,-1.390625,0.6953125,1.0625,0.4609375,0.6171875,-0.5546875,-0.98828125,0.3828125,0.87890625,-0.94140625,-0.29296875,0.90234375,1.8046875,-1.1640625,0.12597656,0.12890625,0.23535156,-0.080078125,-0.2109375,-0.26953125,-0.828125,-0.37109375,1.3828125,1.8671875,-1.1328125,0.91796875,0.21679688,-0.5859375,0.37109375,0.36132812,-0.9609375,0.24902344,-0.123046875,0.98828125,-0.24609375,-1.109375,1.0234375,1.4296875,1.7734375,0.9453125,-0.4375,1.265625,-0.11816406,0.7578125,-2.171875,-0.80078125,-1.0078125,-0.26171875,0.32617188,0.38867188,-0.87109375,-1.4296875,-0.98828125,0.16113281,-3.046875,0.609375,-0.55078125,-0.328125,0.40234375,-0.20996094,-0.75,1.6796875,0.71875,0.7578125,-0.7890625,-1.7734375,0.31640625,1.0703125,1.625,-1.125,-0.17382812,1.71875,2.265625,0.013183594,1.015625,-0.453125,-0.6171875,-1.2578125,-0.021362305,0.41015625,-0.045654297,-0.49804688,-0.67578125,-0.05883789,0.29101562,0.55859375,0.35351562,-1.0078125,0.51953125,0.26757812,0.1484375,0.89453125,-1.453125,0.49609375,-2.0,-0.7734375,-0.34375,1.390625,-0.15820312,0.99609375,0.43554688,-0.71875,0.671875,-1.4296875,0.7578125,-0.75390625,0.57421875,0.38867188,0.64453125,-0.21386719,0.6953125,-1.2265625,-1.0546875,-0.828125,0.78125,1.5546875,1.0078125,-0.953125,-1.1875,0.06689453,-0.65234375,-1.3125,-0.39257812,-0.19433594,-0.984375,-3.75,-0.47070312,1.3125,0.6015625,0.8828125,0.22460938,0.34179688,-1.453125,-0.53125,0.29101562,0.001045227,-0.03540039,1.53125,0.7109375,-2.359375,0.9296875,0.390625,1.8515625,0.921875,-0.65625,0.18164062,-1.6796875,-0.18457031,-0.16699219,0.026000977,1.0703125,-1.125,-0.015075684,0.43164062,-1.84375,-0.421875,-0.41601562
0,0,7,-0.96875,-0.74609375,-0.26367188,1.6953125,1.6640625,0.890625,-0.018066406,-1.4140625,0.82421875,-0.27734375,1.625,-1.578125,-1.7421875,-0.375,1.3046875,-0.68359375,0.36328125,-0.56640625,0.49609375,-0.72265625,1.0390625,-0.453125,-0.119140625,0.97265625,1.2578125,0.27929688,-0.35546875,-0.34179688,-0.94921875,0.03515625,0.28710938,-0.31835938,0.67578125,0.3203125,-0.26953125,0.41601562,1.078125,1.21875,-0.36132812,-0.3046875,-1.7734375,0.5390625,-1.34375,0.51171875,0.20703125,0.66796875,1.734375,-1.3359375,-1.6875,-1.71875,0.05444336,0.515625,-1.2734375,0.45117188,0.1015625,0.265625,-0.49023438,0.026367188,-0.515625,1.78125,-0.25976562,-0.4140625,1.84375,-0.59765625,0.984375,-0.29492188,2.484375,-1.2734375,-0.17773438,-0.6875,1.046875,0.54296875,1.078125,0.47460938,-0.49414062,1.3046875,-0.76953125,-0.21972656,-1.578125,0.83203125,-0.04638672,0.5625,-1.4140625,-1.390625,-0.09082031,-1.265625,-1.71875,-0.609375,1.375,1.203125,-1.4609375,0.29882812,0.60546875,-0.30664062,-0.53125,0.5390625,0.88671875,-0.93359375,0.234375,-0.640625,-0.13867188,-0.9375,1.078125,0.45507812,0.9921875,-0.13671875,0.90234375,-0.19628906,0.10205078,-0.06738281,2.359375,0.13867188,-1.5625,0.17285156,0.45898438,-1.484375,0.37890625,0.5625,-0.15234375,0.087890625,-1.0546875,0.921875,0.92578125,1.875,1.015625,-0.5546875,0.59375,-0.44140625,0.58984375,1.765625,0.71875,0.22460938,0.068847656,-0.17675781,-2.109375,-0.10595703,2.421875,-0.46875,-1.2734375,0.92578125,2.0,-0.75,0.27929688,-0.20800781,-1.8359375,-0.97265625,-1.1015625,1.0859375,-0.5390625,-0.34960938,2.03125,-1.3515625,-1.078125,1.1875,-1.4453125,-1.6171875,-1.3671875,0.35742188,0.87890625,-0.29101562,-1.9453125,0.028686523,0.18261719,0.33203125,-0.46484375,1.3984375,0.18945312,-1.0625,-0.6953125,0.36523438,1.0078125,0.453125,-0.41015625,0.3984375,-0.68359375,0.24511719,1.46875,0.055664062,1.21875,0.78515625,-0.13964844,1.21875,-0.32617188,-1.890625,0.71484375,0.11425781,-1.5703125,-2.390625,0.03930664,-1.4375,1.859375,-0.36914062,1.1171875,-0.37109375,-0.47265625,-0.29296875,-0.10546875,0.265625,-0.734375,-1.515625
