sequenceId,subsequenceId,itemPosition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1,0,5,-0.37304688,0.2109375,1.6015625,0.7265625,0.24707031,0.27539062,-0.016479492,0.83984375,2.03125,-2.625,0.28125,-1.8203125,-0.11621094,0.8515625,-0.009765625,-0.51171875,0.390625,-0.40429688,-0.024658203,-0.65625,-0.5546875,-1.4375,1.2578125,-1.7265625,0.75,-2.09375,1.234375,-2.546875,-0.59375,0.17675781,-1.4765625,1.8984375,0.018554688,-0.8984375,0.62109375,-1.109375,0.33789062,0.16503906,-0.0036468506,-0.63671875,-0.23144531,1.3984375,-0.91796875,-1.7109375,0.0035247803,-0.96875,-0.8828125,1.4453125,-1.484375,-2.0,-0.032470703,1.0859375,-1.234375,-0.08935547,1.984375,1.234375,-1.3125,-0.11279297,1.3359375,0.08496094,-1.3125,-1.0703125,0.70703125,-1.296875,-0.609375,0.84765625,1.7109375,-1.375,-0.765625,-0.41601562,-0.78125,0.5234375,0.69140625,0.07470703,0.99609375,0.24609375,1.109375,-0.28125,-1.0234375,1.0859375,1.9140625,-0.15722656,0.984375,-0.20996094,-0.6171875,0.51953125,-0.27148438,-0.06640625,-0.671875,-0.05053711,-0.6953125,0.13964844,1.8671875,0.31640625,-0.640625,-0.10986328,1.1484375,-0.66796875,-1.1875,0.6796875,-1.171875,1.4765625,0.921875,-0.6640625,1.015625,0.38476562,-0.26757812,-0.021484375,-0.80078125,0.33789062,-0.11425781,-0.041748047,0.16992188,0.703125,0.51171875,0.15429688,0.044677734,0.29882812,-0.06689453,-1.4296875,-0.79296875,1.203125,0.62109375,3.234375,0.16015625,-0.7421875,-0.27539062,-0.109375,0.29492188,0.578125,0.19921875,-1.0390625,-0.48242188,0.98046875,0.27734375,0.039794922,-0.42578125,-0.84765625,-0.90234375,0.6875,2.078125,-0.45898438,0.20507812,0.58984375,0.25976562,-1.2421875,-0.84765625,-0.25195312,-0.76953125,0.91796875,0.984375,1.6328125,0.41015625,1.125,0.024169922,-2.0,-1.5546875,0.41210938,0.55859375,-0.6328125,-0.067871094,0.23535156,1.6171875,-0.3359375,0.76953125,-0.3828125,-0.8125,-0.36132812,-1.34375,-0.99609375,0.28125,1.3671875,-0.921875,-0.09375,-0.62109375,1.53125,1.0,0.6328125,-0.5859375,0.71875,-0.03149414,1.3359375,-0.85546875,-1.1796875,0.78125,1.171875,-1.734375,-1.609375,0.9453125,-1.2421875,-0.890625,-1.3359375,2.421875,1.671875,0.78515625,-0.4375,0.59765625,0.22460938,-0.703125,-0.38476562
1,0,6,-1.625,-0.091796875,0.20898438,0.80078125,0.9765625,0.171875,-0.5234375,-0.33007812,0.43945312,-0.359375,1.203125,-0.96875,-0.60546875,-1.5078125,1.1875,0.20703125,-0.703125,0.053710938,0.17773438,-0.95703125,0.72265625,-0.515625,0.34179688,0.14648438,0.07470703,-1.3125,-0.46679688,0.15722656,-1.5234375,-0.58984375,0.23925781,0.30664062,0.57421875,0.19921875,-0.049072266,-0.76953125,1.1171875,0.734375,-0.50390625,-0.55859375,-0.96875,0.8671875,-1.0390625,-0.24902344,-0.49414062,-0.41015625,0.359375,-0.53125,-1.2734375,-1.265625,0.98046875,1.5703125,-2.328125,1.40625,0.87109375,0.57421875,0.01586914,1.109375,0.7421875,0.140625,-0.84375,-0.36523438,1.0703125,-1.09375,0.62109375,-0.12597656,1.328125,0.31054688,-0.98046875,-1.1796875,0.72265625,-0.7734375,0.118652344,1.21875,-0.4296875,0.25976562,0.04272461,-0.056640625,-1.515625,0.49414062,0.10253906,-0.0068359375,0.10253906,-2.34375,0.3046875,-1.0546875,-0.30664062,-0.8046875,0.67578125,0.8125,-1.171875,1.4296875,1.859375,0.22167969,-1.4140625,0.25976562,-0.40039062,-0.8515625,-0.625,0.042236328,0.47070312,0.8984375,1.6796875,1.5234375,1.0546875,-0.734375,0.765625,0.038330078,0.33007812,-0.057617188,2.0,0.96484375,-1.0234375,-0.125,0.53125,-0.84375,0.32226562,1.3828125,0.7578125,0.016113281,-0.640625,1.296875,0.33203125,2.84375,1.75,-1.3125,0.171875,-0.43945312,0.96484375,2.078125,-0.63671875,1.28125,-1.171875,-0.8828125,-1.734375,0.86328125,1.796875,-1.015625,-0.96875,-0.98828125,0.6875,-0.87109375,1.0546875,0.041015625,-1.0703125,-0.09667969,-1.140625,1.625,-1.1640625,-0.27929688,0.59375,-1.1015625,-1.0234375,1.8046875,-0.55859375,-2.5625,-2.515625,-0.25390625,1.5,0.62109375,-0.7109375,-0.78515625,1.1015625,-0.31054688,0.8984375,0.30078125,0.34960938,-2.09375,0.30273438,1.171875,0.61328125,0.045410156,-0.030883789,0.26367188,-0.69921875,-1.3984375,0.5703125,1.234375,1.9296875,0.19824219,0.83203125,0.16210938,-0.39648438,-1.953125,0.546875,-0.3671875,-0.90234375,-0.12060547,1.0703125,-1.7265625,0.2734375,-0.73828125,2.71875,1.3125,-0.90625,-1.3125,0.24414062,-0.43945312,-1.0,-0.91015625
1,0,7,0.65625,-0.21386719,0.390625,0.96484375,1.28125,-0.88671875,-0.11621094,-1.2421875,1.0,-0.6328125,-0.17285156,-1.3828125,-1.1953125,-0.25,1.0703125,0.57421875,0.47460938,-0.15429688,1.5859375,-0.75,0.3671875,-0.5,-1.453125,1.6796875,1.21875,0.6015625,-1.3515625,1.1328125,0.40625,-0.39257812,-0.90234375,0.10595703,0.052246094,-0.87890625,-1.2890625,0.17578125,0.8203125,-1.578125,-1.03125,-1.5078125,-1.109375,0.98046875,-1.21875,1.0625,-0.49023438,-0.37109375,0.5078125,-0.0703125,-0.671875,-0.85546875,2.4375,0.625,0.12158203,2.515625,-0.609375,-0.14160156,-1.5859375,-0.43359375,0.040039062,0.15820312,1.0625,1.46875,-0.15527344,-0.20800781,-0.34179688,-0.2890625,1.1328125,0.26953125,0.734375,0.3046875,-0.859375,-1.125,-1.640625,1.4296875,-1.2734375,0.5859375,0.8203125,0.27929688,-1.671875,0.43164062,1.3984375,0.56640625,-1.078125,-2.09375,0.93359375,0.50390625,-1.1015625,0.09375,0.26171875,0.30859375,-0.35742188,0.5703125,0.48828125,-0.27929688,-1.5546875,-0.171875,-0.64453125,-0.20898438,-1.2421875,-0.95703125,-0.30664062,0.97265625,-1.109375,2.25,-0.49414062,1.796875,-0.017456055,-0.58984375,-0.5390625,1.171875,2.0625,0.72265625,-1.125,0.06689453,0.28320312,0.25195312,-1.109375,1.21875,-0.6328125,-0.62109375,-1.484375,1.734375,-1.1015625,0.890625,0.640625,0.3671875,1.15625,-0.23925781,0.875,1.4140625,-0.41210938,1.203125,-0.75,-0.43945312,-0.45898438,-0.296875,3.625,0.296875,-0.75,0.115722656,0.49023438,-0.3125,0.26367188,-0.06347656,-0.03100586,-1.34375,-0.51171875,-0.703125,0.061035156,-1.484375,-0.6015625,-1.28125,0.6484375,2.0625,-1.453125,-1.109375,-1.203125,0.7734375,0.24511719,0.40625,-0.9375,-0.19824219,-0.14550781,-0.546875,1.0625,-0.079589844,0.14941406,-0.10839844,0.036132812,-0.30664062,-0.93359375,0.26171875,1.75,-0.8515625,-0.51171875,-0.609375,0.0703125,-1.5078125,2.140625,2.125,2.453125,0.4609375,-1.109375,-0.018432617,0.90625,-1.0859375,0.46679688,-2.0,-0.12207031,-0.32226562,0.765625,-0.765625,0.9765625,1.046875,-1.328125,-0.78515625,-0.103515625,-0.38476562,0.3828125,0.27148438
